Longitude,Latitude,Pixel,Scan
81.825464,-89.9121657,3800,100
82.3967588,-89.911641,3900,100
82.9612095,-89.9111078,4000,100
83.5188309,-89.910566,4100,100
84.0696427,-89.910016,4200,100
84.613669,-89.9094578,4300,100
85.1509383,-89.9088915,4400,100
85.6814831,-89.9083175,4500,100
86.2053397,-89.9077357,4600,100
86.7225481,-89.9071463,4700,100
87.2331513,-89.9065495,4800,100
87.7371958,-89.9059455,4900,100
88.2347307,-89.9053343,5000,100
88.7258078,-89.9047162,5100,100
89.2104814,-89.9040912,5200,100
89.6888081,-89.9034594,5300,100
90.1608464,-89.9028211,5400,100
90.626657,-89.9021764,5500,100
91.0863019,-89.9015253,5600,100
91.5398449,-89.900868,5700,100
91.9873512,-89.9002047,5800,100
92.428887,-89.8995354,5900,100
92.8645197,-89.8988603,6000,100
93.2943178,-89.8981795,6100,100
93.7183503,-89.897493,6200,100
94.136687,-89.8968012,6300,100
94.5493985,-89.8961039,6400,100
94.9565554,-89.8954014,6500,100
95.358229,-89.8946937,6600,100
95.7544908,-89.893981,6700,100
96.1454123,-89.8932634,6800,100
96.5310652,-89.8925409,6900,100
96.9115212,-89.8918137,7000,100
97.2868518,-89.8910818,7100,100
97.6571284,-89.8903454,7200,100
98.0224222,-89.8896046,7300,100
98.3828042,-89.8888594,7400,100
98.7383448,-89.8881099,7500,100
99.0891142,-89.8873562,7600,100
99.4351823,-89.8865984,7700,100
99.7766181,-89.8858366,7800,100
100.11349,-89.8850709,7900,100
100.445867,-89.8843014,8000,100
100.773816,-89.883528,8100,100
101.097405,-89.882751,8200,100
101.416698,-89.8819703,8300,100
101.731763,-89.8811861,8400,100
102.042663,-89.8803984,8500,100
102.349464,-89.8796073,8600,100
102.652227,-89.8788129,8700,100
102.951017,-89.8780152,8800,100
103.245895,-89.8772143,8900,100
103.536921,-89.8764102,9000,100
103.824157,-89.8756031,9100,100
104.107662,-89.874793,9200,100
104.387494,-89.8739799,9300,100
104.663711,-89.8731639,9400,100
104.936371,-89.8723451,9500,100
105.20553,-89.8715235,9600,100
105.471242,-89.8706991,9700,100
105.733564,-89.8698721,9800,100
105.992548,-89.8690425,9900,100
106.248247,-89.8682103,10000,100
106.500714,-89.8673756,10100,100
106.75,-89.8665384,10200,100
106.996156,-89.8656988,10300,100
107.23923,-89.8648568,10400,100
107.479274,-89.8640125,10500,100
107.716333,-89.8631659,10600,100
107.950456,-89.862317,10700,100
108.18169,-89.861466,10800,100
108.41008,-89.8606128,10900,100
108.635671,-89.8597575,11000,100
108.858508,-89.8589001,11100,100
109.078634,-89.8580407,11200,100
109.296092,-89.8571793,11300,100
109.510924,-89.8563159,11400,100
109.723172,-89.8554506,11500,100
109.932876,-89.8545835,11600,100
110.140076,-89.8537144,11700,100
110.344812,-89.8528436,11800,100
110.547122,-89.851971,11900,100
110.745056,-89.8511054,11999,100
55.6106977,-89.9251814,0,200
56.3935739,-89.9250963,100,200
57.1744638,-89.9249973,200,200
57.9530865,-89.9248845,300,200
58.7291656,-89.9247578,400,200
59.5024307,-89.9246174,500,200
60.2726172,-89.9244634,600,200
61.0394669,-89.9242957,700,200
61.8027289,-89.9241146,800,200
62.5621597,-89.9239201,900,200
63.3175233,-89.9237124,1000,200
64.0685924,-89.9234915,1100,200
